model,target,R2,MAE,MSE,RMSE,MAPE_percent
Ridge,uy_tip,0.6290525781518952,0.0001506820455618899,4.105886036747439e-08,0.00020262986050302258,62.142109357002305
Ridge,uy_max,0.6290602899525402,0.00015068514474118248,4.106030260173203e-08,0.00020263341926180891,62.127624527801096
Ridge,sig_max,0.8096386250370688,208708.26522843534,67448677920.40642,259708.83296570106,24.544251651716458
Ridge,area,0.9754051593444976,0.4436861423857409,0.331742994790123,0.5759713489316313,4.994696308927935
GPR,uy_tip,0.9833559341297226,2.4266823105956055e-05,1.8422728836072134e-09,4.292170643866822e-05,8.808233403582186
GPR,uy_max,0.9833565138018799,2.4266947204418925e-05,1.8423117318852857e-09,4.2922158984437e-05,8.806541096595549
GPR,sig_max,0.9966138492355231,22629.193031156694,1199778013.5156875,34637.81190427143,2.418390547643822
GPR,area,0.9999709344079694,0.01257993672329405,0.0003920459042874991,0.019800149097607803,0.12893817565022905
GradientBoosting,uy_tip,0.5651866555556287,0.00015178515976501156,4.812795383914648e-08,0.0002193808420057378,53.1028122944591
GradientBoosting,uy_max,0.5555056435909742,0.00015515629570799644,4.920226194327265e-08,0.0002218158288834966,53.88129454109814
GradientBoosting,sig_max,0.7452902226570537,235176.3951730445,90248548260.00403,300413.9614931437,29.3120996624486
GradientBoosting,area,0.9783467057036123,0.42991826359322344,0.29206648652746914,0.5404317593623353,4.558025843538019
RandomForest,uy_tip,0.44021211051549636,0.00018103033866500044,6.196094496421379e-08,0.0002489195552065241,68.13008151885325
RandomForest,uy_max,0.4402149537774259,0.00018103599669675065,6.196409488453701e-08,0.0002489258823114563,68.1174950632293
RandomForest,sig_max,0.6700473977088655,268765.74325499893,116908520992.07808,341918.8807189186,32.333284829731696
RandomForest,area,0.8381287304661982,1.2305217410875016,2.183370914159947,1.4776234006538833,13.537556985641999
