case_id,len,height,thk,force
0001,10.913281,1.000874,0.027710,1111.241748
0002,10.988517,0.846957,0.137617,1974.688751
0003,8.238634,1.296733,0.037421,1189.827071
0004,13.318205,0.896090,0.049361,605.833688
0005,7.993129,1.259795,0.021004,809.081263
0006,11.912297,0.590692,0.035004,1628.750666
0007,9.118836,0.514834,0.044534,830.260308
0008,11.986435,1.033176,0.078821,1897.627926
0009,12.302702,0.965541,0.098457,1363.968993
0010,9.239846,1.064121,0.104165,1732.664990
0011,8.846420,1.131505,0.069877,1710.273926
0012,10.123674,0.437354,0.040304,1825.073554
0013,10.359314,0.599000,0.052384,1315.624007
0014,11.730768,1.076223,0.114451,1240.941761
0015,8.465141,0.460188,0.084236,1217.416568
0016,6.796170,1.072799,0.083377,1027.190924
0017,11.100549,0.391688,0.085949,1583.276760
0018,7.416654,0.776122,0.057832,789.517616
0019,10.203799,1.186763,0.121730,655.510155
0020,8.661012,1.383283,0.102065,1779.592334
0021,8.492876,1.287023,0.096707,1960.704560
0022,8.882021,0.786211,0.056920,1160.655602
0023,9.408506,0.545797,0.101626,740.499580
0024,10.587690,1.231585,0.077200,1534.325873
0025,9.190925,0.448280,0.068487,1623.153431
0026,10.682599,0.946506,0.116763,663.583234
0027,6.678577,0.742849,0.022538,1432.511218
0028,12.124212,0.537415,0.074163,972.878409
0029,9.527680,1.103063,0.091148,1988.642943
0030,7.147693,1.208599,0.095280,536.909705
0031,13.112268,1.172841,0.020756,1652.296484
0032,13.702708,1.375852,0.097654,1038.722070
0033,10.807003,0.501915,0.117730,724.756499
0034,6.809548,1.052845,0.047574,1424.262299
0035,9.538945,1.200177,0.024978,1724.564104
0036,13.787360,0.829953,0.063485,1438.796443
0037,6.621353,0.638669,0.125914,594.570334
0038,12.023965,0.869014,0.135871,1012.784604
0039,6.363953,1.394539,0.133825,1595.138107
0040,8.050732,0.338891,0.053366,547.579917
0041,13.537052,1.324502,0.087488,1227.154496
0042,10.524417,0.615007,0.124573,1601.617333
0043,10.275955,0.890423,0.139284,989.376110
0044,6.009165,0.809604,0.099920,646.641729
0045,12.569730,0.699190,0.042025,1942.713300
0046,6.559999,1.248140,0.051559,1495.308883
0047,7.603875,1.359284,0.108955,697.562609
0048,6.080778,1.335579,0.028962,1253.214208
0049,13.919376,0.353820,0.127144,1452.353168
0050,7.880315,1.098764,0.111546,1687.771022
0051,11.647093,0.360580,0.039820,1333.594785
0052,12.974433,1.023494,0.122463,1805.455464
0053,7.054305,0.474454,0.038092,1868.840860
0054,9.938275,0.481866,0.062680,1170.507213
0055,11.799190,1.090319,0.105416,1552.838095
0056,9.016283,1.013645,0.134043,1339.382609
0057,11.044055,0.955846,0.073297,1485.327891
0058,6.317756,0.467250,0.054485,1390.805737
0059,7.814242,0.757578,0.058571,1937.040067
0060,11.482483,0.584516,0.059548,1121.332409
0061,13.975092,0.317604,0.079130,1293.218280
0062,9.915030,0.334300,0.089573,982.107749
0063,12.850124,1.157440,0.119590,1008.939306
0064,8.717112,0.605904,0.115554,1818.480747
0065,7.527246,1.283987,0.129534,1268.684674
0066,9.818568,0.802885,0.113280,926.658892
0067,13.865173,0.676110,0.060973,1355.926096
0068,12.899358,1.349257,0.050697,1074.617386
0069,12.486279,1.225900,0.110149,785.261134
0070,11.179892,0.919305,0.131250,585.988619
0071,11.845453,0.415643,0.136626,854.264552
0072,8.776408,0.723456,0.066683,1091.809625
0073,6.488106,0.397298,0.100674,1506.718273
0074,12.688475,0.712420,0.082177,909.003110
0075,12.239733,0.835134,0.065262,941.929380
0076,10.012065,0.934003,0.048084,753.037026
0077,13.424926,0.857748,0.138592,510.810867
0078,8.177693,0.490612,0.103888,1755.273955
0079,8.105508,0.789269,0.106212,881.854633
0080,9.292770,1.165361,0.072597,1982.512190
0081,9.611927,0.568348,0.130350,868.799645
0082,12.428945,0.981285,0.064068,892.069025
0083,10.786057,0.764666,0.094230,1149.679199
0084,13.399999,0.527794,0.036486,821.534732
0085,11.313778,0.375235,0.126387,1880.590028
0086,9.392314,1.038822,0.076691,1746.024466
0087,8.311280,0.302658,0.120770,734.563091
0088,11.443513,0.907425,0.031194,1410.074952
0089,13.229950,0.314636,0.092720,679.882223
0090,12.181578,0.972532,0.090592,1085.166760
0091,7.688023,0.426307,0.055445,768.445162
0092,10.436808,1.271357,0.067850,625.087753
0093,7.284099,1.367354,0.061799,1851.874023
0094,8.348820,0.654878,0.088165,1638.223335
0095,13.601827,0.368758,0.046394,1513.180709
0096,11.389410,1.244117,0.070266,1205.951818
0097,8.968634,1.114483,0.107499,513.421715
0098,13.138255,0.817103,0.030002,1905.718929
0099,9.691135,1.310622,0.132238,704.797907
0100,13.026495,0.731243,0.026741,1919.215382
0101,11.262218,1.139827,0.128502,1546.025003
0102,7.097500,1.318341,0.029027,1675.821117
0103,7.789148,0.565017,0.123390,951.902902
0104,10.179576,0.708922,0.041011,1175.876901
0105,7.593628,0.927492,0.033214,1465.344394
0106,6.900534,1.148596,0.071209,1381.330100
0107,7.254996,0.286841,0.075473,1791.116037
0108,6.164633,0.664287,0.023172,1303.077946
0109,7.399536,0.553087,0.118619,1773.659231
0110,6.983142,0.268297,0.025675,1573.711534
0111,11.597574,0.651295,0.043750,1053.248482
0112,12.369735,0.294514,0.032630,1663.156692
0113,12.798962,0.688541,0.034162,1275.134055
0114,6.441282,0.880288,0.109931,1135.390644
0115,9.773117,0.256423,0.080180,840.882917
0116,6.227153,0.269203,0.081095,916.520351
0117,8.575062,0.409080,0.112947,619.275368
0118,10.628384,0.988190,0.093874,564.073447
0119,13.522904,1.192970,0.045737,1842.791275
0120,12.624732,0.625527,0.086258,554.889990
